model,aure,robust_fraction,abs_utility_area,abs_ece_radius,self_ref_radius,utility_drop,abs_auc_radius,auc_retention,n_cells,A_aure,T_aure
tabicl,0.08452380952380953,0.3412698412698412,0.028487228749131017,0.21666666666666665,0.09761904761904763,0.22504072907262837,0.1797619047619048,0.921505843684928,42,0.8333333333333334,0.10142857142857144
tabpfn,0.08333333333333333,0.3412698412698412,0.027289170154296934,0.23809523809523808,0.10595238095238095,0.21164082397882855,0.1797619047619048,0.9219705778649285,42,0.8333333333333334,0.1
logreg,0.045238095238095244,0.1626984126984127,0.0092067409335993,0.16666666666666666,0.11190476190476191,0.1821430044097911,0.1273809523809524,0.9191684646793412,42,0.30952380952380953,0.14615384615384616
catboost,0.04404761904761905,0.2857142857142857,0.012585306727822067,0.19761904761904764,0.12619047619047621,0.12959464220726463,0.16904761904761906,0.9391997020958522,42,0.7619047619047619,0.0578125
hist_gbdt,0.028571428571428574,0.15873015873015872,0.0042398213357916,0.0761904761904762,0.12261904761904763,0.24301585328614972,0.09642857142857142,0.9339987995033147,42,0.5952380952380952,0.04800000000000001
xgboost,0.028571428571428574,0.1468253968253968,0.0029166334772691587,0.07738095238095238,0.11785714285714285,0.21001672446048167,0.10119047619047619,0.936346245532978,42,0.5238095238095238,0.05454545454545456
