dataset_id,model,family,shift_axis,shift_lambda,split_policy,clean_split_passed,leakage_risk_level,applicable,status,error_message,accuracy,auc,nll,nll_norm,ece,brier,ece_adaptive,ece_classwise,calib_slope,calib_intercept,utility,n_train,best_gbdt,reference_utility,failed,failure_reason,metric_notes
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.0,test_only,True,low,True,ok,,0.4733288318703578,0.7609775998293586,1.281459731778304,0.7962156985852503,0.0412312198950602,0.6572077267046114,0.0487944346240355,0.0311370507716212,0.9362075489197772,-0.0221345767740105,0.090230531166242,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.05,test_only,True,low,True,ok,,0.4740040513166779,0.7581337501250219,1.310556021567645,0.814294239897438,0.0572662704194961,0.6691164347179853,0.0585004275466453,0.0469539283454834,0.6588692280163776,0.0234702180977099,0.0807058941881287,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.1,test_only,True,low,True,ok,,0.4385550303848751,0.7506103857835791,1.4009044322950095,0.8704308637642899,0.0644189288403949,0.7092425928161908,0.0816994053887821,0.0815119530965011,0.4390531157517126,-0.153220832523079,0.0544838446846179,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.2,test_only,True,low,True,ok,,0.3180283592167454,0.7319867453080067,1.7278551601783771,1.0735767728779195,0.1909440187771952,0.8200640695601804,0.1909440187771952,0.1330972761532273,1.31221359994781,-0.8731774549974658,-0.0563622208785007,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.3,test_only,True,low,True,ok,,0.3187035786630655,0.7162484128324872,2.1698994581976123,1.348234337860151,0.232223515070651,0.8965145754328696,0.2322235150706509,0.1622472081015819,1.1225608592342518,-1.041095977161949,-0.152422523081345,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,logreg,linear,covariate_shift,0.4,test_only,True,low,True,ok,,0.3173531397704254,0.7095555688943984,2.6598761949411163,1.6526740015204078,0.254820197361441,0.9334362423358982,0.254820197361441,0.1759156210736147,0.9726215570233356,-1.0973361306173115,-0.2508188198498073,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.0,test_only,True,low,True,ok,,0.7964213369345037,0.9551961115960113,0.5588058264434456,0.347205581604768,0.0131299793831799,0.2833138717201472,0.015547644953095,0.0119011735582165,1.0688591419182558,-0.0368542132093755,0.346994169240713,6911,catboost_tuned,0.2361496324913485,False,,
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.05,test_only,True,low,True,ok,,0.4608372721134369,0.8227191227861512,1.3914820207591263,0.8645763903092482,0.1842588641986011,0.6856767578380659,0.1825973029247296,0.1027579975129323,0.9708969330259948,-0.9214775553662788,0.0608525938596737,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.1,test_only,True,low,True,ok,,0.3909520594193112,0.7531250530181258,2.0744717990175654,1.2889417994883392,0.3179577433944973,0.862618775796845,0.3176190158125857,0.1436405376069303,0.7073260926028306,-1.2830630556278124,-0.1280375110561605,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.2,test_only,True,low,True,ok,,0.3463875759621877,0.6873809275475169,2.763589494132301,1.717114697486324,0.4110039972667137,1.00197342094975,0.4107539510262914,0.1733421637822406,0.3273854340213866,-1.0952917529411594,-0.3047937476632808,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.3,test_only,True,low,True,ok,,0.3139770425388251,0.6446597494533292,3.327963317234931,2.067779869930954,0.4821337522454721,1.10799173007373,0.4821337522454721,0.2005376592659775,-0.0932848811683094,-0.6293131350574026,-0.4440332427388919,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,tabicl,icl,covariate_shift,0.4,test_only,True,low,True,ok,,0.2910195813639433,0.6106529955367042,3.6028934919326514,2.238603592035225,0.5167084730863951,1.1489897664494324,0.5159689172246287,0.2101040477009637,-0.2340202436162818,-0.5008241803967302,-0.5175412865854085,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,logreg,linear,label_noise,0.0,train_only,True,low,True,ok,,0.4733288318703578,0.7609775998293586,1.281459731778304,0.7962156985852503,0.0412312198950602,0.6572077267046114,0.0487944346240355,0.0311370507716212,0.9362075489197772,-0.0221345767740105,0.090230531166242,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,label_noise,0.05,train_only,True,low,True,ok,,0.4716407832545577,0.7589005821448606,1.2856097231215498,0.7987942331849288,0.043276225242046,0.6613362158186,0.0592425383313985,0.0342276498047025,1.0143354610699418,0.0895590592419884,0.088067806234997,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,label_noise,0.1,train_only,True,low,True,ok,,0.4669142471303174,0.7554390268872883,1.3000157485249282,0.8077452000362011,0.0525873288749836,0.6653359311251311,0.0541091893756237,0.0409568858714767,1.1103893279021813,0.1923535449389523,0.0815997706942414,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,label_noise,0.2,train_only,True,low,True,ok,,0.462525320729237,0.7489826895638492,1.3269747202507345,0.8244957509692492,0.079822440519417,0.6774918525379626,0.0782711708405468,0.0524880148245624,1.2742740917967632,0.4424010805388932,0.0682095260620745,6911,catboost_tuned,0.2361496324913485,True,utility_gap;nll,
GesturePhaseSegmentation,logreg,linear,label_noise,0.3,train_only,True,low,True,ok,,0.4456448345712356,0.7412743401590974,1.3667149166181087,0.849187723278558,0.1014072399755869,0.6960113425350035,0.0995593262909472,0.0681338349386612,1.4289759007624845,0.6650808346508201,0.0512549792626846,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,logreg,linear,label_noise,0.4,train_only,True,low,True,ok,,0.4399054692775151,0.7280023323602316,1.4170037944152594,0.8804339598737269,0.1339581665679493,0.7182788000309218,0.1300643083030799,0.0794584236232895,1.7872856270004374,1.2057632625142096,0.0298648154420003,6911,catboost_tuned,0.2361496324913485,True,utility_gap;ece;nll,
GesturePhaseSegmentation,tabicl,icl,label_noise,0.0,train_only,True,low,True,ok,,0.7964213369345037,0.9551961115960113,0.5588058264434456,0.347205581604768,0.0131299793831799,0.2833138717201472,0.015547644953095,0.0119011735582165,1.0688591419182558,-0.0368542132093755,0.346994169240713,6911,catboost_tuned,0.2361496324913485,False,,
GesturePhaseSegmentation,tabicl,icl,label_noise,0.05,train_only,True,low,True,ok,,0.774814314652262,0.943628095263372,0.6389167497329679,0.3969812968843735,0.0346831836538337,0.3215804353527016,0.0408917169874548,0.0238573510770994,1.208199390875087,0.103960882079238,0.3204609547439407,6911,catboost_tuned,0.2361496324913485,False,,
GesturePhaseSegmentation,tabicl,icl,label_noise,0.1,train_only,True,low,True,ok,,0.7488183659689399,0.9399450049517734,0.6832606309261955,0.4245336994036868,0.0633621035874943,0.3426082067531849,0.0662925199334285,0.0347373311910896,1.5584741876948631,0.1439030047195914,0.3012709760898567,6911,catboost_tuned,0.2361496324913485,False,,
GesturePhaseSegmentation,tabicl,icl,label_noise,0.2,train_only,True,low,True,ok,,0.7218095881161377,0.919846031228723,0.823986135396689,0.5119713715147292,0.1357474094526555,0.4073530532045254,0.1331717685409826,0.0588486712471384,1.8018612509966827,0.5967336696069442,0.2494766558025238,6911,catboost_tuned,0.2361496324913485,True,ece,
