model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
logreg,splice,categorical_covariate_shift,0.0,6,5,0.4,42
logreg,tic-tac-toe,categorical_covariate_shift,0.0,6,6,0.4,42
logreg,vowel,categorical_covariate_shift,0.0,6,6,0.4,42
tabicl,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,42
tabicl,car,categorical_covariate_shift,0.0,6,5,0.4,42
tabicl,churn,categorical_covariate_shift,0.05,6,4,0.4,42
tabicl,cmc,categorical_covariate_shift,0.0,6,6,0.4,42
tabicl,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,42
tabicl,credit-g,categorical_covariate_shift,0.2,6,2,0.4,42
tabicl,dna,categorical_covariate_shift,0.0,6,5,0.4,42
tabicl,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,42
tabicl,eucalyptus,categorical_covariate_shift,0.1,6,1,0.4,42
tabicl,ilpd,categorical_covariate_shift,0.0,6,6,0.4,42
tabicl,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,42
tabicl,splice,categorical_covariate_shift,0.0,6,5,0.4,42
tabicl,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,42
tabicl,vowel,categorical_covariate_shift,0.4,6,0,0.4,42
tabpfn,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,42
tabpfn,car,categorical_covariate_shift,0.0,6,5,0.4,42
tabpfn,churn,categorical_covariate_shift,0.05,6,4,0.4,42
tabpfn,cmc,categorical_covariate_shift,0.0,6,6,0.4,42
tabpfn,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,42
tabpfn,credit-g,categorical_covariate_shift,0.2,6,2,0.4,42
tabpfn,dna,categorical_covariate_shift,0.0,6,5,0.4,42
tabpfn,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,42
tabpfn,eucalyptus,categorical_covariate_shift,0.4,6,0,0.4,42
tabpfn,ilpd,categorical_covariate_shift,0.0,6,6,0.4,42
tabpfn,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,42
tabpfn,splice,categorical_covariate_shift,0.0,6,5,0.4,42
tabpfn,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,42
tabpfn,vowel,categorical_covariate_shift,0.4,6,0,0.4,42
xgboost,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,car,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,churn,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,cmc,categorical_covariate_shift,0.0,6,6,0.4,42
xgboost,credit-approval,categorical_covariate_shift,0.0,6,6,0.4,42
xgboost,credit-g,categorical_covariate_shift,0.0,6,6,0.4,42
xgboost,dna,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,42
xgboost,eucalyptus,categorical_covariate_shift,0.0,6,6,0.4,42
xgboost,ilpd,categorical_covariate_shift,0.0,6,6,0.4,42
xgboost,kr-vs-kp,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,splice,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,tic-tac-toe,categorical_covariate_shift,0.0,6,5,0.4,42
xgboost,vowel,categorical_covariate_shift,0.4,6,0,0.4,42
catboost,PhishingWebsites,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,car,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,churn,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,cmc,categorical_covariate_shift,0.0,6,6,0.4,1337
catboost,credit-approval,categorical_covariate_shift,0.05,6,4,0.4,1337
catboost,credit-g,categorical_covariate_shift,0.05,6,4,0.4,1337
catboost,dna,categorical_covariate_shift,0.0,6,5,0.4,1337
catboost,dresses-sales,categorical_covariate_shift,0.0,6,6,0.4,1337
catboost,eucalyptus,categorical_covariate_shift,0.0,6,4,0.4,1337
