seed,model,aure
42,catboost,0.049999999999999996
42,hist_gbdt,0.028571428571428574
42,logreg,0.03928571428571429
42,tabicl,0.05714285714285715
42,tabpfn,0.07857142857142858
42,xgboost,0.028571428571428574
1337,catboost,0.03928571428571429
1337,hist_gbdt,0.028571428571428574
1337,logreg,0.03571428571428571
1337,tabicl,0.09999999999999999
1337,tabpfn,0.07142857142857142
1337,xgboost,0.028571428571428574
2025,catboost,0.042857142857142864
2025,hist_gbdt,0.028571428571428574
2025,logreg,0.06071428571428572
2025,tabicl,0.09642857142857143
2025,tabpfn,0.09999999999999999
2025,xgboost,0.028571428571428574
