model,aure_mean,aure_sd,seed_ci95_lo,seed_ci95_hi,n_seeds,dataset_ci95_lo,dataset_ci95_hi,n_datasets
tabicl,0.08452380952380951,0.023779743280283542,0.05714285714285714,0.09999999999999999,3,0.023809523809523808,0.15952380952380954,14
tabpfn,0.08333333333333333,0.014869042853329515,0.07142857142857142,0.09999999999999999,3,0.02380952380952381,0.15714285714285717,14
logreg,0.045238095238095244,0.013521210347143512,0.03571428571428571,0.06071428571428572,3,0.0023809523809523807,0.10244047619047533,14
catboost,0.04404761904761905,0.0054554472558998035,0.03928571428571429,0.049999999999999996,3,0.0047619047619047615,0.10595238095238099,14
hist_gbdt,0.02857142857142857,4.2491873609703695e-18,0.02857142857142857,0.02857142857142857,3,0.0,0.08571428571428573,14
xgboost,0.02857142857142857,4.2491873609703695e-18,0.02857142857142857,0.02857142857142857,3,0.0,0.08571428571428573,14
